                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.64007,                 1.1139,                0.81855,                0.97583,                0.62757,                0.42032,                0.43684,                 0.3552,                0.57154,                0.38493,                0.37296,                0.19594,                 0.6689,                 4.6479,                 1.6457,                0.91386,              0.0013831,              0.0013831,              0.0013831
                     45,                0.65467,                 1.1695,                 0.8402,                0.97768,                0.62757,                0.42032,                0.43684,                 0.3552,                0.57154,                0.38493,                0.37296,                0.19594,                 0.6689,                 4.6479,                 1.6457,                0.91386,              0.0013765,              0.0013765,              0.0013765
                     46,                0.61597,                 1.0238,                0.85713,                0.95436,                0.66284,                0.39208,                0.42906,                0.35319,                0.52008,                0.38918,                0.38995,                0.23726,                0.66572,                 3.4469,                 1.6024,                0.93995,              0.0013699,              0.0013699,              0.0013699
                     47,                0.60476,                 1.0868,                0.80517,                0.95577,                 0.6101,                0.39515,                0.43514,                0.34766,                0.58514,                0.37733,                 0.3972,                0.27577,                0.76165,                 3.2415,                 1.6887,                 1.0221,              0.0013633,              0.0013633,              0.0013633
                     48,                0.66346,                 1.1501,                0.84768,                0.97081,                0.56514,                0.44764,                 0.4155,                0.34259,                 0.5323,                 0.4106,                 0.3871,                 0.2742,                0.82708,                 2.8686,                 1.7021,                  1.062,              0.0013567,              0.0013567,              0.0013567
                     49,                0.64996,                 1.0434,                0.79217,                0.96074,                0.56514,                0.44764,                 0.4155,                0.34259,                 0.5323,                 0.4106,                 0.3871,                 0.2742,                0.82708,                 2.8686,                 1.7021,                  1.062,              0.0013501,              0.0013501,              0.0013501
                     50,                0.68433,                 1.1216,                0.81435,                0.98175,                0.74571,                 0.3331,                0.41309,                0.32898,                0.71841,                0.31459,                0.38723,                0.28844,                0.78983,                 2.4578,                 1.7146,                 1.0134,              0.0013435,              0.0013435,              0.0013435
                     51,                0.66946,                 1.1781,                0.80049,                0.93362,                0.55441,                0.37356,                 0.4174,                0.29593,                0.53009,                0.35504,                0.39362,                0.28874,                0.89651,                 2.3179,                 1.7323,                 1.0668,              0.0013369,              0.0013369,              0.0013369
                     52,                0.67727,                 1.0635,                0.81336,                0.97381,                0.62102,                 0.3908,                0.42828,                0.32251,                0.59543,                0.37229,                0.40245,                0.30149,                0.83879,                 2.0414,                 1.6588,                 1.0571,              0.0013303,              0.0013303,              0.0013303
                     53,                0.64255,                  1.039,                0.79055,                0.97651,                0.62102,                 0.3908,                0.42828,                0.32251,                0.59543,                0.37229,                0.40245,                0.30149,                0.83879,                 2.0414,                 1.6588,                 1.0571,              0.0013237,              0.0013237,              0.0013237
                     54,                0.63999,                 1.0346,                0.79323,                0.95319,                0.53632,                0.47564,                0.43634,                0.34731,                0.76019,                0.35504,                0.41448,                0.31758,                0.81791,                 1.8072,                 1.6466,                 1.0244,              0.0013171,              0.0013171,              0.0013171
                     55,                0.70695,                 1.1405,                0.78967,                0.95128,                0.48391,                 0.5166,                0.44712,                0.36163,                0.65929,                0.37356,                0.42788,                0.33505,                0.78674,                 1.7093,                 1.5647,                 1.0126,              0.0013105,              0.0013105,              0.0013105
                     56,                0.65004,                 1.1382,                0.74949,                  0.942,                0.48984,                0.51788,                0.43147,                0.34843,                0.46006,                0.48084,                0.41004,                0.31128,                 0.7744,                 1.7116,                 1.6087,                 1.0042,              0.0013039,              0.0013039,              0.0013039
                     57,                0.59294,                0.92755,                0.73139,                0.95431,                0.48984,                0.51788,                0.43147,                0.34843,                0.46006,                0.48084,                0.41004,                0.31128,                 0.7744,                 1.7116,                 1.6087,                 1.0042,              0.0012973,              0.0012973,              0.0012973
                     58,                0.61429,                  0.875,                0.75718,                0.93142,                0.48142,                0.49936,                0.43137,                0.34516,                0.45414,                0.46232,                0.40931,                0.30732,                0.76148,                 1.8526,                 1.6427,                 1.0122,              0.0012907,              0.0012907,              0.0012907
                     59,                0.57894,                0.92928,                0.71453,                0.94183,                0.47132,                0.51533,                0.43176,                0.34415,                0.44659,                0.49681,                0.41512,                0.30035,                0.77007,                 2.0524,                 1.6257,                  1.026,              0.0012841,              0.0012841,              0.0012841
                     60,                0.58226,                0.90184,                0.72408,                0.93992,                0.58465,                0.41484,                0.43047,                0.32767,                0.54486,                0.37997,                0.39273,                 0.2737,                0.79565,                 2.1244,                 1.6603,                 1.0422,              0.0012775,              0.0012775,              0.0012775
                     61,                0.61693,                 1.0007,                0.73211,                0.94174,                0.58465,                0.41484,                0.43047,                0.32767,                0.54486,                0.37997,                0.39273,                 0.2737,                0.79565,                 2.1244,                 1.6603,                 1.0422,              0.0012709,              0.0012709,              0.0012709
                     62,                0.55983,                0.87678,                0.69082,                0.93569,                0.53968,                0.48212,                0.43587,                0.33559,                0.51527,                 0.4636,                0.41679,                0.28603,                0.76335,                 2.0753,                 1.6254,                 1.0198,              0.0012643,              0.0012643,              0.0012643
                     63,                0.59564,                0.84654,                0.68975,                0.92709,                0.65226,                0.42912,                 0.4308,                0.34136,                0.62805,                 0.4106,                0.39816,                0.29979,                0.72838,                 1.7666,                 1.6092,                0.98857,              0.0012577,              0.0012577,              0.0012577
                     64,                0.62133,                0.96959,                0.72192,                0.92834,                 0.7121,                0.45918,                0.43326,                0.35423,                0.68829,                0.44125,                0.40121,                0.29495,                0.70486,                 1.8081,                  1.638,                0.97249,              0.0012511,              0.0012511,              0.0012511
                     65,                0.59255,                0.95642,                0.70583,                0.93696,                 0.7121,                0.45918,                0.43326,                0.35423,                0.68829,                0.44125,                0.40121,                0.29495,                0.70486,                 1.8081,                  1.638,                0.97249,              0.0012445,              0.0012445,              0.0012445
                     66,                0.61545,                0.98941,                 0.6895,                0.94153,                0.51269,                0.53512,                 0.4423,                0.36186,                0.48907,                 0.5166,                0.40804,                0.28321,                0.68481,                 1.8804,                 1.5856,                0.96895,              0.0012379,              0.0012379,              0.0012379
                     67,                0.56354,                 0.9034,                0.67145,                0.92414,                0.58902,                  0.494,                0.48915,                0.38527,                0.55263,                 0.4757,                0.44272,                0.29765,                0.67759,                 1.9365,                 1.5901,                0.97009,              0.0012313,              0.0012313,              0.0012313
                     68,                0.59164,                0.89956,                0.69766,                0.94115,                0.75417,                0.43829,                 0.4976,                0.38823,                0.70438,                0.42038,                0.45239,                0.33323,                0.69987,                 1.8287,                  1.484,                0.99834,              0.0012247,              0.0012247,              0.0012247
                     69,                0.55697,                0.79342,                0.69266,                0.94353,                0.75417,                0.43829,                 0.4976,                0.38823,                0.70438,                0.42038,                0.45239,                0.33323,                0.69987,                 1.8287,                  1.484,                0.99834,              0.0012181,              0.0012181,              0.0012181
                     70,                 0.5433,                0.82832,                0.70891,                0.92213,                0.71249,                0.44381,                0.49828,                0.40304,                0.67333,                0.42529,                0.44359,                0.33256,                0.64772,                  1.705,                 1.4191,                0.95759,              0.0012115,              0.0012115,              0.0012115
                     71,                0.53895,                0.79198,                0.67245,                0.92921,                0.61848,                0.51077,                0.44063,                0.37161,                0.57224,                0.47408,                0.40075,                0.30723,                0.64664,                 1.8142,                 1.5389,                0.95358,              0.0012049,              0.0012049,              0.0012049
                     72,                0.55798,                0.98742,                0.69828,                0.95032,                0.60897,                0.42009,                0.41776,                0.36367,                0.46984,                 0.4998,                0.39764,                0.28304,                0.66824,                      2,                 1.6686,                0.94555,              0.0011983,              0.0011983,              0.0011983
                     73,                 0.5973,                0.99887,                0.72493,                0.95578,                0.60897,                0.42009,                0.41776,                0.36367,                0.46984,                 0.4998,                0.39764,                0.28304,                0.66824,                      2,                 1.6686,                0.94555,              0.0011917,              0.0011917,              0.0011917
